"entity_id","entity_type","date","text"
"alpha_solutions","Customer","2026-06-01","Kickoff call with Priya Sharma. They are evaluating our ERP platform and seem very interested in the inventory module."
"alpha_solutions","Customer","2026-06-08","Priya shared their requirements. They need GST invoicing, purchase order tracking, and vendor management."
"alpha_solutions","Customer","2026-06-15","Product demo went well. Priya said the dashboard and reporting features exceeded their expectations."
"alpha_solutions","Customer","2026-06-22","Sent the proposal. They promised to review and revert with a decision by June 30."
"alpha_solutions","Customer","2026-06-29","Priya confirmed they are going ahead. They promised to send the signed contract by July 5."
"alpha_solutions","Customer","2026-07-03","Received signed contract! They promised to arrange the initial payment of INR 2,50,000 by July 10."
"beta_industries","Customer","2026-05-10","Initial meeting with Vikram Mehta. They are unhappy with their current vendor and want to switch."
"beta_industries","Customer","2026-05-18","Vikram shared a list of 15 pain points with their current system. Very detailed requirements."
"beta_industries","Customer","2026-05-25","Product demo to their entire procurement team. Feedback was mostly positive but they had concerns about migration complexity."
"beta_industries","Customer","2026-06-02","Follow-up call. Vikram said they need a detailed migration plan before they can commit."
"beta_industries","Customer","2026-06-10","Shared migration roadmap. They promised to evaluate internally and respond by June 20."
"beta_industries","Customer","2026-06-22","Vikram called. They have decided to go with a competitor. Relationship ended."
"gamma_retail","Customer","2026-04-15","Onboarding completed. They promised to run parallel testing for 2 weeks before full cutover."
"gamma_retail","Customer","2026-04-22","Testing is going well. Minor UI issues reported but nothing blocking."
"gamma_retail","Customer","2026-04-30","Full cutover done! System is live. They are very happy with the smooth transition."
"gamma_retail","Customer","2026-05-10","First monthly review. Everything running well. They mentioned they are considering adding the analytics add-on."
"gamma_retail","Customer","2026-05-20","Upgrade discussion call. They want the analytics module. Promised to send the PO by May 30."
"gamma_retail","Customer","2026-06-01","Received PO for analytics add-on worth INR 1,80,000. Implementation scheduled."
"gamma_retail","Customer","2026-06-15","Analytics module deployed. They are thrilled with the new dashboards. Very positive feedback overall."
"delta_enterprises","Customer","2026-06-05","Cold inbound inquiry from their COO. They heard about us through a LinkedIn post and want a demo."
"delta_enterprises","Customer","2026-06-12","Discovery call. They have 300+ suppliers and need automated PO matching and discrepancy detection."
"delta_enterprises","Customer","2026-06-19","Scheduled a workshop for requirements gathering. They promised to send their integration specs by June 30."
"delta_enterprises","Customer","2026-06-26","Received integration specs. They use SAP for finance and a custom system for procurement."
"delta_enterprises","Customer","2026-06-30","Specs reviewed by engineering. Feasible with some custom API work. Promised to share effort estimate by July 7."
"zeta_logistics","Customer","2026-05-05","Signed up for the free trial. They manage last-mile delivery for 3 cities."
"zeta_logistics","Customer","2026-05-12","Noticed they have not logged in after the first week. Sent a check-in email."
"zeta_logistics","Customer","2026-05-20","Still no activity. Followed up with a call. They said they got busy but will try again."
"zeta_logistics","Customer","2026-06-01","Trial period ended. They did not convert. Marked as inactive prospect."
"omega_packaging","Vendor","2026-05-01","Onboarding call. They supply corrugated boxes and have been in business for 12 years."
"omega_packaging","Vendor","2026-05-08","Received their rate card and samples. Quality is good. They promised to deliver first bulk order by May 25."
"omega_packaging","Vendor","2026-05-20","Placed PO-201 for 5000 units. They confirmed the order and promised delivery by June 5."
"omega_packaging","Vendor","2026-06-02","Order update: 3000 units ready for dispatch. Balance delayed due to raw material shortage."
"omega_packaging","Vendor","2026-06-10","Partial delivery received (3000 units). Remaining 2000 units promised by June 20."
"omega_packaging","Vendor","2026-06-22","Remaining units still not delivered. Account manager is not responding to calls. Very concerning."
"omega_packaging","Vendor","2026-06-28","Escalated to their regional head. They promised to complete the order by July 5 or face penalties."
"sigma_chemicals","Vendor","2026-06-01","Initial meeting. They supply industrial solvents and cleaning agents. Very professional team."
"sigma_chemicals","Vendor","2026-06-10","Audited their manufacturing plant. Found excellent quality control processes and safety standards."
"sigma_chemicals","Vendor","2026-06-20","Approved as vendor. Placed first PO-301 for 200 liters of cleaning solvent. They promised delivery by July 1."
"sigma_chemicals","Vendor","2026-07-02","Delivery received on time. Product quality matches specification. Very satisfied."
"sigma_chemicals","Vendor","2026-07-05","Placed second PO-302 for 500 liters. They offered a 5% volume discount. Promised delivery by July 20."
"titan_components","Vendor","2026-04-20","Long-term partner review meeting. Overall relationship is strong and consistent."
"titan_components","Vendor","2026-05-05","Received quarterly supply report. On-time delivery rate is 97%. Impressive reliability."
"titan_components","Vendor","2026-05-15","Discussed the upcoming peak season. They committed to maintaining the same quality and delivery timelines."
"titan_components","Vendor","2026-06-01","Placed bulk PO-401 for Q3 requirements. They gave us a 8% early-order discount. Promised delivery in weekly batches starting July."
"titan_components","Vendor","2026-06-20","First weekly batch arrived ahead of schedule. Trustworthy as always."
"titan_components","Vendor","2026-07-01","Second batch delivered on time. Quality check passed with zero defects."
"nexus_it","Vendor","2026-06-10","New vendor onboarding. They provide managed IT services and cloud infrastructure support."
"nexus_it","Vendor","2026-06-18","Rahul from Nexus joined our architecture review call. Very knowledgeable about AWS and Azure."
"nexus_it","Vendor","2026-06-25","Signed a 6-month contract for cloud monitoring services starting July 1."
"nexus_it","Vendor","2026-07-01","Service went live. They are proactively monitoring our infrastructure. First week has been smooth."
"coastal_freight","Vendor","2026-03-01","Started partnership for ocean freight services. Good rates for our shipping volume."
"coastal_freight","Vendor","2026-03-15","First shipment handled well. Everything on time and within budget."
"coastal_freight","Vendor","2026-04-01","Second shipment delayed by 3 days. They blamed port congestion."
"coastal_freight","Vendor","2026-04-20","Third shipment delayed again. Customer complaints are piling up."
"coastal_freight","Vendor","2026-05-05","Another delay. This is becoming a pattern. We are losing trust."
"coastal_freight","Vendor","2026-05-15","Missed a critical shipment window. Lost a major client because of this."
"coastal_freight","Vendor","2026-05-25","Issued formal warning. They promised improvement but we are skeptical."
"coastal_freight","Vendor","2026-06-05","No improvement. Decision made to terminate the contract effective immediately."
"pacific_digital","Partner","2026-06-01","Partnership discussion initiated. They are a leading digital transformation consultancy."
"pacific_digital","Partner","2026-06-10","Signed the partnership MoU. They will resell our ERP platform to their clients in the ASEAN region."
"pacific_digital","Partner","2026-06-20","Training session for their sales team completed. They are enthusiastic about the product."
"pacific_digital","Partner","2026-06-28","They have their first 3 prospects lined up for demos next month. Promising start."
"pacific_digital","Partner","2026-07-03","Shared marketing collateral and case studies. They promised to run a webinar featuring our platform by July end."
"single_event_entity","Vendor","2026-07-01","Just a single interaction note to test entities with minimal data."
"no_promise_entity","Customer","2026-06-15","Quarterly check-in call. Everything is fine on their end."
"no_promise_entity","Customer","2026-07-01","Follow-up meeting. No commitments made. Just status updates."
"future_promise_entity","Customer","2026-07-05","Planning session. They promised to finalize next quarter roadmap by September 15."
"future_promise_entity","Customer","2026-07-06","They confirmed the roadmap review meeting is scheduled for August 10."
"mixed_sentiment_entity","Customer","2026-06-01","Great initial meeting but they had some concerns about pricing."
"mixed_sentiment_entity","Customer","2026-06-15","Follow-up went well but they are still negotiating on the annual maintenance costs."
"mixed_sentiment_entity","Customer","2026-06-25","Frustrated with response times but happy with the product quality."
"resolved_promise_entity","Vendor","2026-05-01","They promised to deliver samples by May 10."
"resolved_promise_entity","Vendor","2026-05-12","Samples received and approved. Promise fulfilled."
"resolved_promise_entity","Vendor","2026-06-01","They promised to send the bulk order by June 15."
"resolved_promise_entity","Vendor","2026-06-18","Bulk order arrived with slight delay but complete. Quality is acceptable."
"resolved_promise_entity","Vendor","2026-07-01","They promised to share the new catalog by July 5."
"multi_promise_entity","Customer","2026-06-01","Kickoff meeting. They promised to share requirements by June 10 and sign NDA by June 12."
"multi_promise_entity","Customer","2026-06-11","Received requirements document but NDA is still pending."
"multi_promise_entity","Customer","2026-06-20","NDA signed and also promised to schedule the technical demo by June 25."
"multi_promise_entity","Customer","2026-06-27","Technical demo scheduled for July 2. They promised to have their IT team available."
